Nr.,Bezeichnung,Hinterlegung
223,"""Die Grauen Österreichs/Partei der Senioren""",31.07.1989
224,"""Die Grauen Panther Österreichs""",28.08.1989
225,"""DIE GRÜNALTERNATIVEN - BURGENLAND (GAL-Bgld)""",19.09.1986
226,"""Die Grünalternativen - Demokratische Liste"", kurz ""GAL""",19.09.1986
227,"""DIE GRÜNALTERNATIVEN - KÄRNTEN (GAL-Ktn)""",19.09.1986
228,"""Die Grünalternativen - Niederösterreich"", kurz ""GAL-NÖ""",30.06.1986
229,"""DIE GRÜNALTERNATIVEN - OBERÖSTERREICH (GAL-OÖ)""",19.09.1986
230,"""DIE GRÜNALTERNATIVEN - SALZBURG (GAL-Slzbg)""",19.09.1986
231,"""DIE GRÜNALTERNATIVEN - STEIERMARK (GAL-Stmk)""",19.09.1986
232,"""DIE GRÜNALTERNATIVEN - TIROL (GAL-Tir)""",19.09.1986
233,"""DIE GRÜNALTERNATIVEN - VORARLBERG (GAL-Vlbg)""",19.09.1986
234,"""DIE GRÜNALTERNATIVEN - WIEN (GAL-Wien)""",19.09.1986
235,"""Die Grüne Alternative (Grüne) Liste Freda Meissner-Blau (AL, BIP, VGÖ, GAL, GRAS, KEL, Unabhängige …)""",22.09.1986
236,"""Die Grüne Alternative (Grüne) Liste Freda Meissner-Blau (AL, BIP, VGÖ, GAL, GRAS, KEL, VÖGA, Unabhängige …)""",22.09.1986
237,"""Die Grüne Alternative Bezirk Neunkirchen"", kurz ""Grüne-Neunkirchen""",23.07.1987
238,"""DIE GRÜNE ALTERNATIVE GUNTRAMSDORF (GRÜNE)""",02.11.1989
239,"""Die Grüne Alternative Hernals"", Kurzbezeichnung ""GRÜNE""",24.11.1986
240,"""Die Grüne Alternative Krems"" (GRÜNE)",15.06.1987
241,"""DIE GRÜNE BEWEGUNG"" (B)",28.06.1982
242,"""DIE GRÜNE FRONT"" - Wählerpartei der Umweltschützer & Unabhängigen - W.d.U. -",11.03.1981
243,"""Die Grünen - Alternative Liste Graz (Grüne)""",05.03.1982
244,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE - LINZ"" (GRÜNE)",02.06.2005
245,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE - OBERÖSTERREICH"" (GRÜNE)",05.09.1989
246,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE - WELS"" (GRÜNE)",05.11.1985
247,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE (Grüne)""",05.06.1992
248,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE (GRÜNE)""",22.09.1986
249,"""DIE GRÜNEN - Die Grüne Alternative Burgenland - zeleni - zöldek - selene (GRÜNE)""",27.04.1987
250,"""Die Grünen - Die Grüne Alternative Kärnten (GRÜNE)""",30.11.1987
251,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE NIEDERÖSTERREICH"", Kurzbezeichnung ""GRÜNE NÖ""",23.07.1987
252,"""DIE GRÜNEN - Die Grüne Alternative Salzburg""",21.10.1983
253,"""Die Grünen - Die Grüne Alternative Steiermark (Grüne)""",12.07.1985
254,"""DIE GRÜNEN - DIE GRÜNE ALTERNATIVE TIROL (GRÜNE)""",13.09.1989
255,"""DIE GRÜNEN - Grüne Alternative Baden (Grüne)""",20.11.1987
256,"""DIE GRÜNEN - Grüne Alternative Bruck/Leitha (Grüne)""",20.12.2002
257,"""Die Grünen - Grüne Alternative Vorarlberg"", ",26.09.1988
258,"""Die Grünen - Grüne Alternative Wien (GRÜNE)""",26.11.1990
259,"""Die Grünen - Partei für gesunde Umwelt und saubere Politik""",07.12.1982
260,"""DIE GRÜNEN (GRÜNE) - Die Grüne Alternative Bezirk Krems"", kurz ""Grüne Bezirk Krems""",07.08.1998
261,"""DIE GRÜNEN ALTERNATIVEN ÖSTERREICHS (GAÖ)""",19.11.1982
262,"""DIE GRÜNEN ALTERNATIVEN"" (GAL)",19.11.1982
263,"""DIE GRÜNEN Amstetten""",14.05.2001
264,"""DIE GRÜNEN Brunn am Gebirge""",07.11.2000
265,"""Die Grünen Demokrat/inn/en""",09.06.1988
266,"""DIE GRÜNEN GUMPOLDSKIRCHEN""",20.02.2004
267,"""Die Grünen Klagenfurt""",04.11.1998
268,"""Die Grünen Leonding"", Abkürzung ""Die Grünen""",05.06.2013
269,"""DIE GRÜNEN MÖDLING""",22.08.1995
270,"""DIE GRÜNEN ÖSTERREICHS - DIE NEUE GRÜNE ALTERNATIVE""",28.02.1982
271,"""DIE GRÜNEN ÖSTERREICHS"" - Vereinte Grüne Parteien - (GRÜNE)",27.09.1982
272,"""DIE GRÜNEN ÖSTERREICHS"" (GRÜNE)",26.11.1984
273,"""DIE GRÜNEN ÖSTERREICHS"" (Wahlgemeinschaft von Bürgerinitiativen, Atomgegnern, Natur-, Umweltschutz- und ",28.01.1982
274,"""DIE GRÜNEN PERCHTOLDSDORF""",03.04.2003
275,"""Die Grünen St. Pölten"", kurz ""Die Grünen"", ""Grüne""",13.05.1991
276,"""DIE GRÜNEN Tulln - Ökologisches Bürgerforum (Grüne)""",10.08.1995
277,"""DIE GRÜNEN VILLACH""",06.06.1988
278,"""Die Grünen Wiener Neustadt""",20.07.1988
279,"""DIE GRÜNEN WIENERWALD""",22.08.2013
280,"""Die Grünen Zwettl"", kurz ""GrüZw""",07.11.2001
281,"""DIE GRÜNEN""",27.01.1981
282,"""DIE GRÜNEN"" (GRÜNE)",12.06.1986
283,"""DIE GRÜNEN"", Kurzbezeichnung ""GRÜNE""",18.08.1992
